tradeId,asset,timestamp,datetime,hourOfDay,dayOfWeek,minuteOfHour,isMarketOpen,direction,directionEncoded,entryPrice,openPrice,highPrice,lowPrice,closePrice,rsi1m,rsi1mPrev,bbUpper,bbMiddle,bbLower,rsi5m,rsi5mPrev,adx15m,sma15m,sma15mPrev,bbWidth,bbWidthPct,pricePositionInBB,distToUpperBB,distToLowerBB,rsiDelta1m,rsiDelta5m,rsiDivergence,smaSlope15m,distToSma15m,atr1m,candleBodyPct,upperWickPct,lowerWickPct,regime,regimeEncoded,strategyType,strategyEncoded,confidence,priceChange1,priceChange5,priceChange15,target,exitReason,pnl,barsHeld
R_100_1764468575684_21,R_100,1756675500,2025-08-31T21:25:00.000Z,21,0,25,1,PUT,0,1301.150000,1301.400000,1302.400000,1301.040000,1301.150000,64.830000,66.630000,1304.253621,1293.684000,1283.114379,47.290000,51.380000,16.557343,1309.062500,1310.099000,0.016340,1.634034,0.706364,0.238529,1.386129,-1.800000,-4.090000,17.540000,-0.079116,-0.604440,2.518601,0.183824,0.735294,0.080882,RANGE,1,MEAN_REVERSION,0,80,-0.044556,0.505948,1.119884,0,SL,-20.000000,24
R_100_1764468575685_22,R_100,1756703220,2025-09-01T05:07:00.000Z,5,1,7,1,PUT,0,1282.930000,1279.700000,1282.930000,1279.700000,1282.930000,70.160000,64.640000,1280.117733,1272.462500,1264.807267,44.950000,39.990000,29.702673,1299.197500,1301.199000,0.012032,1.203216,1.367365,-0.219207,1.412605,5.520000,4.960000,25.210000,-0.153820,-1.252119,2.521156,1,0,0,BEARISH_TREND,0,MOMENTUM,1,85,0.270424,0.717544,1.030839,1,TP,32.000000,30
R_100_1764468575685_23,R_100,1756715940,2025-09-01T08:39:00.000Z,8,1,39,1,PUT,0,1241.310000,1240.750000,1241.800000,1239.810000,1241.310000,70.470000,69.980000,1242.559880,1230.735000,1218.910120,48.250000,43.510000,49.615389,1259.992500,1262.765000,0.019216,1.921596,0.894301,0.100690,1.804536,0.490000,4.740000,22.220000,-0.219558,-1.482747,2.436934,0.281407,0.246231,0.472362,BEARISH_TREND,0,MOMENTUM,1,85,0.026592,0.410115,1.347148,0,SL,-20.000000,12
R_100_1764468575685_24,R_100,1756717500,2025-09-01T09:05:00.000Z,9,1,5,1,PUT,0,1251.880000,1247.860000,1252.090000,1247.860000,1251.880000,71.610000,63.170000,1251.435001,1246.246000,1241.056999,59.720000,53.720000,44.884696,1256.172500,1257.858500,0.008327,0.832741,1.085758,-0.035546,0.864540,8.440000,6,11.890000,-0.134037,-0.341713,2.432432,0.950355,0.049645,0,BEARISH_TREND,0,MOMENTUM,1,85,0.346276,0.519508,0.456592,0,SL,-20.000000,6
R_100_1764468575685_25,R_100,1756718400,2025-09-01T09:20:00.000Z,9,1,20,1,PUT,0,1257.950000,1255.950000,1258.290000,1254.910000,1257.950000,72.350000,67.950000,1259.547201,1253.108000,1246.668799,60.250000,59.930000,41.653679,1255.082000,1256.172500,0.010277,1.027717,0.751957,0.126969,0.896792,4.400000,0.320000,12.100000,-0.086811,0.228511,2.339122,0.591716,0.100592,0.307692,BEARISH_TREND,0,MOMENTUM,1,85,0.172003,0.356607,0.484871,0,TIMEOUT,19.301244,30
R_100_1764468575685_26,R_100,1756725780,2025-09-01T11:23:00.000Z,11,1,23,1,PUT,0,1264.710000,1263.460000,1265.530000,1262.250000,1264.710000,70.640000,69.220000,1264.279990,1258.019000,1251.758010,64.760000,60.950000,24.194494,1248.046000,1248.371500,0.009954,0.995373,1.068681,-0.034001,1.024108,1.420000,3.810000,5.880000,-0.026074,1.335207,2.353972,0.381098,0.250000,0.368902,BEARISH_TREND,0,MOMENTUM,1,85,0.063296,0.493445,0.691066,0,TIMEOUT,5.186960,30
R_100_1764468575685_27,R_100,1756728840,2025-09-01T12:14:00.000Z,12,1,14,1,CALL,1,1250.830000,1251.580000,1251.900000,1250.490000,1250.830000,28.960000,30.260000,1262.453891,1256.184000,1249.914109,43.160000,45.600000,21.327607,1249.915500,1249.447000,0.009982,0.998244,-0.853922,0.929294,0.073223,-1.300000,-2.440000,-14.200000,0.037497,0.073165,2.216561,0.531915,0.226950,0.241135,BULLISH_TREND,2,MOMENTUM,1,85,-0.053536,-0.181151,-0.425102,0,SL,-20.000000,27
R_100_1764468575685_28,R_100,1756731720,2025-09-01T13:02:00.000Z,13,1,2,1,CALL,1,1236.790000,1234.160000,1236.960000,1234.160000,1236.790000,40.680000,31.730000,1248.005429,1239.682000,1231.358571,39.560000,30.290000,21.895473,1249.848500,1249.617000,0.013428,1.342833,-0.347453,0.906818,0.439155,8.950000,9.270000,1.120000,0.018526,-1.044807,2.560964,0.939286,0.060714,0,RANGE,1,MEAN_REVERSION,0,80,0.249653,-0.135651,-0.569991,0,TIMEOUT,18.176085,30
R_100_1764468575685_29,R_100,1756745040,2025-09-01T16:44:00.000Z,16,1,44,1,PUT,0,1235.890000,1234.470000,1236.240000,1234.470000,1235.890000,70.580000,68.060000,1235.486654,1228.225000,1220.963346,56.510000,51.400000,33.484054,1235.887500,1237.286000,0.011825,1.182463,1.055545,-0.032636,1.207766,2.520000,5.110000,14.070000,-0.113030,0.000202,2.365698,0.802260,0.197740,0,BEARISH_TREND,0,MOMENTUM,1,85,0.120706,0.405394,0.810800,0,SL,-20.000000,11
R_100_1764468575685_30,R_100,1756753020,2025-09-01T18:57:00.000Z,18,1,57,1,CALL,1,1246.140000,1250.300000,1250.460000,1246.140000,1246.140000,29.800000,38.240000,1259.849095,1254.526000,1249.202905,47.720000,57.420000,25.791148,1237.663000,1237.195500,0.008486,0.848622,-1.575399,1.100125,-0.245791,-8.440000,-9.700000,-17.920000,0.037787,0.684920,2.397618,0.962963,0.037037,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.351848,-0.645017,-0.620454,0,SL,-20.000000,7
