Direction,EntryPrice,ExitPrice,PnL,BarsHeld,ExitReason,RSI,ATR,Volatility,Trend,AgainstTrend,PinBarType,WickRatio,BodyRatio,NearBB,MaxFavorable%,MaxAdverse%,ReachedTP,ReachedSL,ImmediateReversal,NearMiss,Hour,DayOfWeek
PUT,3997.21,3999.43,-1.11,30,TIMEOUT,52.1,3.6956,low,sideways,Yes,bearish,62.3,2.2,Yes,0.22,0.16,No,No,No,No,14,4
PUT,3998.81,3999.16,-0.18,30,TIMEOUT,54.9,1.7885,low,sideways,Yes,bearish,96.2,3.8,Yes,0.04,0.13,No,No,No,No,16,4
PUT,3996.09,4008.08,-6.00,26,SL,35.8,1.7315,low,sideways,No,bearish,67.1,28.9,No,0.03,0.33,No,Yes,No,No,17,4
PUT,4015.95,4021.26,-2.64,30,TIMEOUT,62.3,1.7707,low,sideways,Yes,bearish,63.5,35.1,Yes,0.01,0.25,No,No,No,No,18,4
PUT,4021.14,4023.06,-0.95,30,TIMEOUT,48.6,1.4111,low,sideways,No,bearish,60.9,23.2,No,0.03,0.12,No,No,No,No,19,4
CALL,4029.10,4021.78,-3.63,30,TIMEOUT,42.8,1.9502,low,sideways,Yes,bullish,68.3,2.1,Yes,0.06,0.23,No,No,No,No,0,5
CALL,4028.12,4027.99,-0.06,30,TIMEOUT,54.6,2.5474,low,sideways,No,bullish,66.7,33.3,No,0.27,0.01,No,No,No,Yes,1,5
CALL,4004.68,3992.67,-6.00,8,SL,37.4,2.8375,low,down,Yes,bullish,75.0,12.3,Yes,0.10,0.33,No,Yes,No,No,3,5
PUT,3996.36,4000.78,-2.21,30,TIMEOUT,42.9,1.4457,low,sideways,No,bearish,80.2,14.0,No,0.18,0.12,No,No,No,No,3,5
CALL,4000.55,4000.20,-0.17,30,TIMEOUT,57.4,1.9655,low,sideways,No,bullish,52.1,29.2,No,0.25,0.03,No,No,No,No,4,5
PUT,4007.21,4009.16,-0.97,30,TIMEOUT,57.4,2.1464,low,sideways,Yes,bearish,94.2,0.0,No,0.11,0.20,No,No,No,No,5,5
CALL,4011.59,4010.39,-0.60,30,TIMEOUT,55.6,2.2247,low,sideways,No,bullish,55.4,32.1,No,0.01,0.16,No,No,No,No,6,5
PUT,4018.43,4022.22,-1.89,30,TIMEOUT,51.9,2.0880,low,sideways,Yes,bearish,68.9,29.8,No,0.07,0.21,No,No,No,No,7,5
CALL,4021.22,4014.89,-3.15,30,TIMEOUT,45.7,1.6120,low,sideways,Yes,bullish,60.4,31.1,Yes,0.12,0.16,No,No,No,No,8,5
PUT,4002.52,4008.56,-3.02,30,TIMEOUT,36.9,1.8175,low,sideways,No,bearish,90.1,9.9,No,0.06,0.18,No,No,No,No,9,5
CALL,4012.54,4010.03,-1.25,30,TIMEOUT,70.3,1.8203,low,up,No,bullish,55.0,23.3,No,0.11,0.07,No,No,No,No,10,5
CALL,4010.50,4006.42,-2.03,30,TIMEOUT,44.9,1.5648,low,sideways,Yes,bullish,53.8,32.7,Yes,0.00,0.17,No,No,No,No,10,5
PUT,4006.09,4009.36,-1.63,30,TIMEOUT,43.5,1.4391,low,sideways,No,bearish,99.2,0.8,Yes,0.10,0.09,No,No,No,No,11,5
PUT,4007.02,4013.09,-3.03,30,TIMEOUT,51.1,1.3685,low,sideways,Yes,bearish,51.4,16.2,Yes,0.01,0.18,No,No,No,No,11,5
CALL,4026.96,4021.89,-2.52,30,TIMEOUT,55.0,2.6989,low,sideways,No,bullish,54.4,23.3,No,0.21,0.18,No,No,No,No,13,5
PUT,4017.87,4023.94,-3.02,30,TIMEOUT,34.0,3.5012,low,down,No,bearish,88.0,10.7,No,0.18,0.23,No,No,No,No,13,5
CALL,4020.02,4016.67,-1.67,30,TIMEOUT,47.2,3.0267,low,sideways,Yes,bullish,69.9,23.3,No,0.14,0.17,No,No,No,No,14,5
CALL,3996.19,3984.20,-6.00,3,SL,24.5,3.6620,low,down,Yes,bullish,86.6,3.1,Yes,0.04,0.42,No,Yes,Yes,No,16,5
PUT,3980.93,3984.79,-1.94,30,TIMEOUT,41.8,2.4805,low,sideways,No,bearish,93.8,0.7,No,0.00,0.24,No,No,No,No,16,5
PUT,3986.22,3998.18,-6.00,10,SL,52.9,2.4797,low,sideways,Yes,bearish,58.8,19.4,Yes,0.04,0.33,No,Yes,No,No,17,5
CALL,4000.67,3996.17,-2.25,30,TIMEOUT,35.9,1.3732,low,sideways,Yes,bullish,56.8,21.6,Yes,0.12,0.23,No,No,No,No,18,5
PUT,3996.38,3998.36,-0.99,30,TIMEOUT,43.0,1.6494,low,sideways,No,bearish,55.0,26.0,No,0.04,0.14,No,No,No,No,19,5
PUT,3998.20,4006.26,-4.03,30,TIMEOUT,47.1,1.0794,low,sideways,No,bearish,58.8,38.2,Yes,0.05,0.20,No,No,No,No,20,5
CALL,4003.71,3991.70,-6.00,3075,SL,53.7,1.0235,low,sideways,No,bullish,82.3,17.7,Yes,0.67,1.87,Yes,Yes,No,Yes,20,5
CALL,3970.87,3967.72,-1.59,30,TIMEOUT,40.0,1.5081,low,sideways,Yes,bullish,91.0,9.0,Yes,0.01,0.22,No,No,No,No,5,3
CALL,3969.57,3966.19,-1.70,30,TIMEOUT,48.1,1.3870,low,sideways,Yes,bullish,52.9,5.8,Yes,0.06,0.14,No,No,No,No,6,3
PUT,3965.18,3969.65,-2.25,30,TIMEOUT,43.9,1.3205,low,sideways,No,bearish,74.3,25.7,Yes,0.01,0.17,No,No,No,No,7,3
PUT,3974.14,3986.06,-6.00,9,SL,70.2,1.4440,low,sideways,Yes,bearish,54.0,3.6,Yes,0.04,0.30,No,Yes,No,No,7,3
CALL,3981.78,3969.83,-6.00,30,SL,50.5,1.2280,low,sideways,No,bullish,52.0,25.0,Yes,0.05,0.39,No,Yes,No,No,8,3
CALL,3965.97,3962.87,-1.56,30,TIMEOUT,52.4,1.2093,low,sideways,No,bullish,74.4,25.1,Yes,0.10,0.14,No,No,No,No,10,3
PUT,3961.64,3963.50,-0.94,30,TIMEOUT,38.4,1.5757,low,sideways,No,bearish,92.2,7.8,No,0.10,0.06,No,No,No,No,11,3
PUT,3966.74,3968.34,-0.81,30,TIMEOUT,61.4,1.3729,low,sideways,Yes,bearish,75.5,18.1,Yes,0.11,0.08,No,No,No,No,11,3
PUT,3966.96,3967.89,-0.47,30,TIMEOUT,51.1,1.1837,low,sideways,No,bearish,73.8,10.7,Yes,0.09,0.11,No,No,No,No,12,3
PUT,3974.56,3979.49,-2.48,30,TIMEOUT,56.5,2.0452,low,sideways,Yes,bearish,98.6,1.4,Yes,0.08,0.15,No,No,No,No,13,3
CALL,3983.14,3971.19,-6.00,23,SL,68.6,1.3962,low,sideways,No,bullish,83.2,8.8,No,0.06,0.33,No,Yes,No,No,14,3
CALL,3974.17,3970.59,-1.80,30,TIMEOUT,40.8,2.9327,low,sideways,Yes,bullish,62.4,25.6,No,0.09,0.24,No,No,No,No,14,3
PUT,3976.11,3977.34,-0.62,30,TIMEOUT,59.1,3.0356,low,up,Yes,bearish,83.5,16.5,Yes,0.00,0.21,No,No,No,No,15,3
PUT,3982.28,3983.55,-0.64,30,TIMEOUT,55.6,1.6250,low,sideways,Yes,bearish,78.7,21.3,Yes,0.00,0.20,No,No,No,No,16,3
